cui,establecimiento,domicilio
<a href='https://jpcib.github.io/sistemaBochi/pages/0200148.html'>0200148</a>,JIC N° 03/03° SAN TELMO,<a href='https://jpcib.github.io/sistemaBochi/pages/0200148.html'>PIEDRAS 860</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200163.html'>0200163</a>,ESC. PARA JÓVENES Y ADULTOS CON DISCAPACIDAD MENTAL Y DE FORMACIÓN INTEGRAL N° 22 P B PALACIOS ALMAFUERTE [A:CR],<a href='https://jpcib.github.io/sistemaBochi/pages/0200163.html'>COCHABAMBA 2147</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200168.html'>0200168</a>,EPA N° 01 VALENTIN GOMEZ - EPC N° 01 VALENTIN GOMEZ - CENS N° 36 - ESEA DANZA RAMICONE FOLKLORE N° 03,<a href='https://jpcib.github.io/sistemaBochi/pages/0200168.html'>AVDA. INDEPENDENCIA 758</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200173.html'>0200173</a>,EPC N° 01 ALTE. GUILLERMO BROWN - EEM N° 07/04° ESCUELA DE LA RIBERA,<a href='https://jpcib.github.io/sistemaBochi/pages/0200173.html'>ARISTOBULO DEL VALLE 471</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200174.html'>0200174</a>,EPC N° 02 CARLOS RAMON VIGNALE - EPA N° 02 CARLOS RAMON VIGNALE,<a href='https://jpcib.github.io/sistemaBochi/pages/0200174.html'>WENCESLAO VILLAFAÑE 453</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200175.html'>0200175</a>,EPC N° 03 JUAN MARIA GUTIERREZ - JIN C (EPCJC 03/04°),<a href='https://jpcib.github.io/sistemaBochi/pages/0200175.html'>ROCHA 1226</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200176.html'>0200176</a>,EPC N° 04 JOSE JACINTO BERRUTTI,<a href='https://jpcib.github.io/sistemaBochi/pages/0200176.html'>BENITO QUINQUELA MARTIN 1081</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200177.html'>0200177</a>,Sup Inicial II A - EPC N° 08 CARLOS DELLA PENNA - JIC N° 02/04° CARLOS DELLA PENNA - ESC. DE MUSICA N° 01,<a href='https://jpcib.github.io/sistemaBochi/pages/0200177.html'>BRAUN MENENDEZ 260</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200178.html'>0200178</a>,Museo de Bellas Artes de Artistas Argentinos Benito Quinquela Martin - EPC N° 09 BENITO QUINQUELA MARTIN - CENS N° 32 - CENOF CENTRO MUSEO QUINQUELA MARTIN - JII N° 01/04° BENITO QUINQUELA MARTIN,<a href='https://jpcib.github.io/sistemaBochi/pages/0200178.html'>AVDA. DON PEDRO DE MENDOZA 1835</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200179.html'>0200179</a>,EPC N° 10 GRAL. ARAOZ DE LAMADRID,<a href='https://jpcib.github.io/sistemaBochi/pages/0200179.html'>GRAL. GREGORIO ARAOZ DE LAMADRID 499</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200180.html'>0200180</a>,CENS N° 39 - EPC N° 11 ANTONIO J. BUCICH - JII N° 04/04° - CAIYJ LA BOCA,<a href='https://jpcib.github.io/sistemaBochi/pages/0200180.html'>BRANDSEN 1057</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200181.html'>0200181</a>,Sup Primaria DE 04 A Sup Adultos Region V A - EPA N° 13 REPUBLICA DE CHILE - EPC N° 13 REPUBLICA DE CHILE - JIN C (EPCJC 13/04°),<a href='https://jpcib.github.io/sistemaBochi/pages/0200181.html'>SUAREZ 1131</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200182.html'>0200182</a>,EPC N° 14 AGUSTIN RAFAEL CAFFARENA,<a href='https://jpcib.github.io/sistemaBochi/pages/0200182.html'>NECOCHEA 1136</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200183.html'>0200183</a>,EPC N° 18 PROVINCIA DE LA RIOJA,<a href='https://jpcib.github.io/sistemaBochi/pages/0200183.html'>HERNANDARIAS 556</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200184.html'>0200184</a>,EPC N° 19 REPUBLICA ITALIANA - JIN C (EPCJC 19/04°),<a href='https://jpcib.github.io/sistemaBochi/pages/0200184.html'>RIO CUARTO 1249</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200186.html'>0200186</a>,EPC N° 22 DR. GUILLERMO RAWSON - CECIE N° 04,<a href='https://jpcib.github.io/sistemaBochi/pages/0200186.html'>HUMBERTO I° 343</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200187.html'>0200187</a>,EPC N° 24 PRESIDENTE DERQUI - JIN C (EPCJS 24/04°),<a href='https://jpcib.github.io/sistemaBochi/pages/0200187.html'>CALIFORNIA 1925</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200188.html'>0200188</a>,CENTRO CULTURAL FORTUNATO LACÁMERA - EPC N° 26 HIPOLITO YRIGOYEN - JII N° 09/04°,<a href='https://jpcib.github.io/sistemaBochi/pages/0200188.html'>AVDA. SAN JUAN 353</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200189.html'>0200189</a>,EPC N° 27 DEAN FUNES - CENOF CENTRO DEFENSA,<a href='https://jpcib.github.io/sistemaBochi/pages/0200189.html'>DEFENSA 1431</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200190.html'>0200190</a>,JIN C (EPCJC 28/04°) [S] - EPC N° 28 FRANCISCO PASCASIO MORENO - CAIYJ CLUB LA BOCA,<a href='https://jpcib.github.io/sistemaBochi/pages/0200190.html'>JOSE AARON SALMUN FEIJOO 1073</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200191.html'>0200191</a>,CENS N° 45 - EPA N° 29 MANUEL BELGRANO,<a href='https://jpcib.github.io/sistemaBochi/pages/0200191.html'>GRAL. GREGORIO ARAOZ DE LAMADRID 676</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200193.html'>0200193</a>,CAIYJ BARRACAS - PI ESPACIO BARRACAS - ESC. DE COM.  Nº 01 DE 04 JOAQUÍN V. GONZALEZ - COLEGIO N° 11 HIPOLITO YRIGOYEN,<a href='https://jpcib.github.io/sistemaBochi/pages/0200193.html'>BENITO QUINQUELA MARTIN 1649</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200194.html'>0200194</a>,ESC. POLITEC. MANUEL BELGRANO,<a href='https://jpcib.github.io/sistemaBochi/pages/0200194.html'>BOLIVAR 346</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200195.html'>0200195</a>,Sup Media Tecnica Region I - IFTS Nº 06 - ESC. TEC. N° 01 ING. OTTO KRAUSE,<a href='https://jpcib.github.io/sistemaBochi/pages/0200195.html'>AVDA. PASEO COLON 650</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200196.html'>0200196</a>,Sup Media Tecnica Region II Este - ESC. TEC. N° 31 MAESTRO QUINQUELA,<a href='https://jpcib.github.io/sistemaBochi/pages/0200196.html'>AVDA. DON PEDRO DE MENDOZA 1777</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200197.html'>0200197</a>,ESEA ARTES VISUALES MANUEL BELGRANO,<a href='https://jpcib.github.io/sistemaBochi/pages/0200197.html'>WENCESLAO VILLAFAÑE 1342</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200198.html'>0200198</a>,CENS N° 51 - CFP N° 01,<a href='https://jpcib.github.io/sistemaBochi/pages/0200198.html'>RIO CUARTO 1993</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200199.html'>0200199</a>,ENS N° 03 BERNARDINO RIVADAVIA (SEDE) - ENS N° 03 BERNARDINO RIVADAVIA (Anexo Nivel Inicial),<a href='https://jpcib.github.io/sistemaBochi/pages/0200199.html'>BOLIVAR 1235</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200200.html'>0200200</a>,ESC. TEC. N° 15 MAIPU - UNIVERSIDAD DE LA CIUDAD,<a href='https://jpcib.github.io/sistemaBochi/pages/0200200.html'>AVDA. PASEO COLON 255</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200201.html'>0200201</a>,ESCUELA INF. N° 03/04°,<a href='https://jpcib.github.io/sistemaBochi/pages/0200201.html'>AZOPARDO 1504</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200202.html'>0200202</a>,ESC. INTEGRAL INTERDISCIPLINARIA N° 04,<a href='https://jpcib.github.io/sistemaBochi/pages/0200202.html'>AVDA. ALMTE. BROWN 473</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200214.html'>0200214</a>,EEM N° 02/04° E.REINGRESO,<a href='https://jpcib.github.io/sistemaBochi/pages/0200214.html'>AVDA. REGIMIENTO DE PATRICIOS 1933</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200216.html'>0200216</a>,ENS Nº 05 GRAL. M. M. DE GÜEMES[A:Polideportivo],<a href='https://jpcib.github.io/sistemaBochi/pages/0200216.html'>CALIFORNIA 1851</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200222.html'>0200222</a>,CAIYJ CLUB SAN TELMO/Polideportivo Martina Cespedes,<a href='https://jpcib.github.io/sistemaBochi/pages/0200222.html'>BOLIVAR 1280</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200223.html'>0200223</a>,POLIDEPORTIVO 9 DE JULIO,<a href='https://jpcib.github.io/sistemaBochi/pages/0200223.html'>AVDA. SUAREZ 1851</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200224.html'>0200224</a>,EPC N° 01 EST. PLURINACIONAL DE BOLIVIA - CECIE N° 05,<a href='https://jpcib.github.io/sistemaBochi/pages/0200224.html'>GRAL. HORNOS 530</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200225.html'>0200225</a>,EPC N° 02 PATRICIOS - JII N° 08/05°,<a href='https://jpcib.github.io/sistemaBochi/pages/0200225.html'>AVDA. ALMAFUERTE 66</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200226.html'>0200226</a>,ESC. DE MUSICA N° 05 - EPC N° 03 BERNARDO DE IRIGOYEN - JIN A (EPCJS 03/05°) - Sup Inicial II B A Sup Primaria DE05 - ESC. DE MUSICA N° 05,<a href='https://jpcib.github.io/sistemaBochi/pages/0200226.html'>AVDA. MANUEL MONTES DE OCA 439</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200227.html'>0200227</a>,JIN B (EPCJS 04/05°) - EPC N° 04 CNEL. DE MARINA TOMAS ESPORA,<a href='https://jpcib.github.io/sistemaBochi/pages/0200227.html'>SOLIS 1815</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200228.html'>0200228</a>,JIN B (EPCJS 06/05°) (SEDE) - EPC N° 06 TOMAS GUIDO,<a href='https://jpcib.github.io/sistemaBochi/pages/0200228.html'>SAN JOSE 1985</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200229.html'>0200229</a>,EPC N° 07 JUAN DE GARAY - EPA N° 07 JUAN DE GARAY - JIN A (EPCJS 07/05°) (SEDE),<a href='https://jpcib.github.io/sistemaBochi/pages/0200229.html'>AVDA. CASEROS 734</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200230.html'>0200230</a>,EPC N° 08 CARLOS NORBERTO VERGARA - JIN B (EPCJS 08/05°),<a href='https://jpcib.github.io/sistemaBochi/pages/0200230.html'>AVDA. AMANCIO ALCORTA 1934</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200231.html'>0200231</a>,JIC N° 03/05° - EPC N° 09 JOSE PEDRO VARELA,<a href='https://jpcib.github.io/sistemaBochi/pages/0200231.html'>LUZURIAGA 1571</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200232.html'>0200232</a>,EPC N° 10 DEAN DIEGO E. DE ZAVALETA - CENS N° 75,<a href='https://jpcib.github.io/sistemaBochi/pages/0200232.html'>IGUAZU 1110</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200233.html'>0200233</a>,EPC N° 11 REPUBLICA DE HAITI - EPA N° 11 REPUBLICA DE HAITI - UGEE N° 06 BACHILLERATO POPULAR DE ADULTOS Y ADOLESCENTES 2 DE DICIEMBRE - BACH.POP. DE JOVENES Y ADULTOS VILLA 21 24,<a href='https://jpcib.github.io/sistemaBochi/pages/0200233.html'>LAFAYETTE 1879</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200235.html'>0200235</a>,EPC N° 13 FRAY MAMERTO ESQUIU,<a href='https://jpcib.github.io/sistemaBochi/pages/0200235.html'>SALOM 332</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200236.html'>0200236</a>,JIC N° 04/05° SEDE - EPC N° 14 PROVINCIA DE SAN LUIS,<a href='https://jpcib.github.io/sistemaBochi/pages/0200236.html'>CACHI 77</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200237.html'>0200237</a>,EPC N° 15 ARZOBISPO MARIANO A. ESPINOSA - JIN A (EPCJS 15/05°),<a href='https://jpcib.github.io/sistemaBochi/pages/0200237.html'>AVDA. MANUEL MONTES DE OCA 807</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200238.html'>0200238</a>,EPA N° 16 SABINA BOVE DE BOZALLA - EPC N° 16 SABINA BOVE DE BOZALLA,<a href='https://jpcib.github.io/sistemaBochi/pages/0200238.html'>AVDA. AMANCIO ALCORTA 3402</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200239.html'>0200239</a>,EPC N° 17 PEDRO MELITON LEDESMA - EPA N° 17 PEDRO MELITON LEDESMA,<a href='https://jpcib.github.io/sistemaBochi/pages/0200239.html'>TRAFUL 3835</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200240.html'>0200240</a>,JIN B (EPCJC 18/05°) - EPC N° 18 JUAN ENRIQUE PESTALOZZI - ESEA DANZA MASTRAZZI N° 09 - ESEA EN DANZA MASTRAZZI CURSO VOCACIONAL DE DANZA Y EXPRESIÓN CORPORAL JUVENIL N° 01,<a href='https://jpcib.github.io/sistemaBochi/pages/0200240.html'>AVDA. CASEROS 2152</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200241.html'>0200241</a>,EPC N° 19 PROVINCIA DE FORMOSA,<a href='https://jpcib.github.io/sistemaBochi/pages/0200241.html'>ELIA 473</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200242.html'>0200242</a>,EPC N° 20 NIEVES ESCALADA DE OROMI,<a href='https://jpcib.github.io/sistemaBochi/pages/0200242.html'>SAN ANTONIO 682</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200243.html'>0200243</a>,EPC N° 23 LORENZO ANADON - CENOF CENTRO TRAFUL,<a href='https://jpcib.github.io/sistemaBochi/pages/0200243.html'>TRAFUL 3847</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200244.html'>0200244</a>,EPC N° 24 CONTRALMIRANTE MARTIN GUERRICO,<a href='https://jpcib.github.io/sistemaBochi/pages/0200244.html'>LYNCH 3536</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200245.html'>0200245</a>,EPC N° 25 MARCOS PAZ,<a href='https://jpcib.github.io/sistemaBochi/pages/0200245.html'>AVDA. AMANCIO ALCORTA 2502</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200246.html'>0200246</a>,EPC N° 26 BRIGADIER MIGUEL DE AZCUENAGA - JIN B (EPCJC 26/05°),<a href='https://jpcib.github.io/sistemaBochi/pages/0200246.html'>PICHINCHA 1873</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200247.html'>0200247</a>,EPC N° 27 MANUEL DE SARRATEA - EPA N° 27 MANUEL DE SARRATEA,<a href='https://jpcib.github.io/sistemaBochi/pages/0200247.html'>VIEYTES 1469</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200248.html'>0200248</a>,ESCUELA INF. N° 07/05° PADRE DANIEL DE LA SIERRA,<a href='https://jpcib.github.io/sistemaBochi/pages/0200248.html'>ALVARADO 3295</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200249.html'>0200249</a>,ESCUELA INF. N°05/05° MARIA EVA DUARTE DE PERON,<a href='https://jpcib.github.io/sistemaBochi/pages/0200249.html'>PROF. DR. PEDRO CHUTRO 3380</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200250.html'>0200250</a>,ESCUELA INF. N° 06/05° ROSARIO VERA PEÑALOZA,<a href='https://jpcib.github.io/sistemaBochi/pages/0200250.html'>AVDA. MANUEL MONTES DE OCA 16</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200251.html'>0200251</a>,JII N° 01/05° WALT DISNEY,<a href='https://jpcib.github.io/sistemaBochi/pages/0200251.html'>AVDA. CASEROS 1555</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200252.html'>0200252</a>,JII N° 02/05° ANTONINO ABERASTAIN,<a href='https://jpcib.github.io/sistemaBochi/pages/0200252.html'>SAN ANTONIO 1136</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200253.html'>0200253</a>,PI ESPACIO HUELLITAS - ESC. DE COM. N° 18 REINO DE SUECIA - EEM N° 01/05° E.REINGRESO N. J.MORRESI - PI ESPACIO NOCHERITOS,<a href='https://jpcib.github.io/sistemaBochi/pages/0200253.html'>JUAN CARLOS GOMEZ 253</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200254.html'>0200254</a>,ESC. TEC. N° 04 REPUBLICA DEL LIBANO,<a href='https://jpcib.github.io/sistemaBochi/pages/0200254.html'>AVDA. MANUEL MONTES DE OCA 121</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200255.html'>0200255</a>,ESC. INTEGRAL INTERDISCIPLINARIA N° 05,<a href='https://jpcib.github.io/sistemaBochi/pages/0200255.html'>JOSE A. CORTEJARENA 3350</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200256.html'>0200256</a>,ESC. TEC. N° 10 FRAY LUIS BELTRAN - LICEO COM. N° 03 J. M. ESTRADA - [A],<a href='https://jpcib.github.io/sistemaBochi/pages/0200256.html'>VIEYTES 942</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200257.html'>0200257</a>,ESC. TEC. N° 14 LIBERTAD,<a href='https://jpcib.github.io/sistemaBochi/pages/0200257.html'>SANTA MAGDALENA 431</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200259.html'>0200259</a>,ENS N° 05 GRAL.  M. M. DE GÜEMES (SEDE) - LICEO COM. N° 03 JOSE MANUEL ESTRADA,<a href='https://jpcib.github.io/sistemaBochi/pages/0200259.html'>ARCAMENDIA 743</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200261.html'>0200261</a>,PI SOL DE NOCHE - JII N° 10/05° - CAIYJ ZAVALETA,<a href='https://jpcib.github.io/sistemaBochi/pages/0200261.html'>AVDA. GRAL. IRIARTE 3880</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200262.html'>0200262</a>,IFTS Nº 11 DE 05 - ESC. TEC. N° 07 DOLORES LAVALLE DE LAVALLE - CAIYJ CLUB PARQUE PATRICIOS - CFP N° 36,<a href='https://jpcib.github.io/sistemaBochi/pages/0200262.html'>ZAVALETA 204</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200266.html'>0200266</a>,CENTRO EDUCATIVO PARA NIÑOS EN TIEMPOS Y ESPACIOS SINGULARES N° 01 - CFP Nº02 (ANEXO),<a href='https://jpcib.github.io/sistemaBochi/pages/0200266.html'>DR. RAMON CARRILLO 317</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200268.html'>0200268</a>,ESC. HOSP. N° 03 DR. PEDRO DE ELIZALDE,<a href='https://jpcib.github.io/sistemaBochi/pages/0200268.html'>AVDA. MANUEL MONTES DE OCA 16</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200280.html'>0200280</a>,JII Nº 14/05º,<a href='https://jpcib.github.io/sistemaBochi/pages/0200280.html'>MANUEL GARCIA 370</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200281.html'>0200281</a>,CAEBYT N° 47 - EEM N° 06/05° - EPC N° 12 HORACIO QUIROGA - CAIYJ CLUB BARRACAS SUR - CFP N° 09 POLO EDUCATIVO BARRACAS - ESCUELA INF. N° 12/05° - Casa de la Cultura,<a href='https://jpcib.github.io/sistemaBochi/pages/0200281.html'>RIO CUARTO Y MONTESQUIEU</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200290.html'>0200290</a>,CFP Nº02 - CENS N° 49,<a href='https://jpcib.github.io/sistemaBochi/pages/0200290.html'>BRANDSEN 2570</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200293.html'>0200293</a>,ENS N° 05 GRAL. M. M. DE GÜEMES ([A]),<a href='https://jpcib.github.io/sistemaBochi/pages/0200293.html'>AVDA. SUAREZ 2123</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200294.html'>0200294</a>,EPA N° 01 ESTEBAN DE LUCA - EPC N° 01 ESTEBAN DE LUCA - JIN A (EPCJS 01/06°),<a href='https://jpcib.github.io/sistemaBochi/pages/0200294.html'>ADOLFO ALSINA 2499</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200295.html'>0200295</a>,EPC N° 02 JOSE MARIA GUTIERREZ,<a href='https://jpcib.github.io/sistemaBochi/pages/0200295.html'>LA RIOJA 1846</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200296.html'>0200296</a>,JIN A (EPCJC 03/06°) [S] - EPC N° 03 RUFINO SANCHEZ,<a href='https://jpcib.github.io/sistemaBochi/pages/0200296.html'>LA RIOJA 850</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200297.html'>0200297</a>,EPC N° 04 SALVADOR MARIA DEL CARRIL - JIN B (EPCJS 04/06°) MAESTRO F. REYES,<a href='https://jpcib.github.io/sistemaBochi/pages/0200297.html'>QUINTINO BOCAYUVA 620</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200298.html'>0200298</a>,CENS N° 70 - EPC N° 05 PAUL GROUSSAC,<a href='https://jpcib.github.io/sistemaBochi/pages/0200298.html'>CATAMARCA 462</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200299.html'>0200299</a>,EPC N° 06 DR. GUILLERMO CORREA - JIC N° 03/06° - CAIYJ CLUB DE CHICOS BALVANERA,<a href='https://jpcib.github.io/sistemaBochi/pages/0200299.html'>SAAVEDRA 695</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200300.html'>0200300</a>,EPC N° 07 OLEGARIO VICTOR ANDRADE - CECIE N° 06,<a href='https://jpcib.github.io/sistemaBochi/pages/0200300.html'>24 DE NOVIEMBRE 1536</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200301.html'>0200301</a>,EPC N° 10 FRANCISCO DE GURRUCHAGA,<a href='https://jpcib.github.io/sistemaBochi/pages/0200301.html'>AVDA. JUJUY 1471</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200302.html'>0200302</a>,CONSERVATORIO SUPERIOR DE MÚSICA MANUEL DE FALLA - ANEXO 3 - JIN B (EPCJC 11/06°) MAESTRO F.REYES [S] - EPC N° 11 JOSE FEDERICO MORENO,<a href='https://jpcib.github.io/sistemaBochi/pages/0200302.html'>HUMBERTO I° 3171</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200303.html'>0200303</a>,EPC N° 12 REPUBLICA DEL PARAGUAY - CENOF CENT.MUN.DEL TANGO-ESC.PRIM.12/06,<a href='https://jpcib.github.io/sistemaBochi/pages/0200303.html'>AGRELO 3231</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200304.html'>0200304</a>,EPC N° 13 BRIG. GRAL. JOSE M. ZAPIOLA - JIN B (EPCJC 13/06°) MAESTRO F. REYES - EPA N° 13 BRIG.GRAL. JOSE MATIAS ZAPIOLA,<a href='https://jpcib.github.io/sistemaBochi/pages/0200304.html'>GRAL. URQUIZA 227</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200305.html'>0200305</a>,JIC N° 04/06° MARIANO BOEDO - EPC N° 14 INTENDENTE ALVEAR,<a href='https://jpcib.github.io/sistemaBochi/pages/0200305.html'>CASTRO BARROS 965</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200307.html'>0200307</a>,EPC N° 17 LUIS JOSE CHORROARIN,<a href='https://jpcib.github.io/sistemaBochi/pages/0200307.html'>CARLOS CALVO 2827</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200308.html'>0200308</a>,CENS N° 15 - EPC N° 18 DR. ANTONIO BERMEJO,<a href='https://jpcib.github.io/sistemaBochi/pages/0200308.html'>AVDA. BELGRANO 3767</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200309.html'>0200309</a>,EPC N° 22 MARTINA SILVA DE GURRUCHAGA - EPA N° 22 MARTINA SILVA DE GURRUCHAGA,<a href='https://jpcib.github.io/sistemaBochi/pages/0200309.html'>AVDA. BOEDO 657</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200310.html'>0200310</a>,JIN C (EPCJS 25/06°) - EPC N° 25 PAULA ALBARRACIN DE SARMIENTO - ESCUELA DE MAESTROS ([A] 02),<a href='https://jpcib.github.io/sistemaBochi/pages/0200310.html'>TARIJA 4136</a>
<a href='https://jpcib.github.io/sistemaBochi/pages/0200311.html'>0200311</a>,EPA N° 26 REPUBLICA DE COLOMBIA - EPC N° 26 REPUBLICA DE COLOMBIA,<a href='https://jpcib.github.io/sistemaBochi/pages/0200311.html'>AVDA. JUAN DE GARAY 3972</a>
